Time	Especie_1	Especie_2	Especie_3	Especie_4	Especie_5	
22.14	3.2342	17.1462	0.9393	12.2318	2.5000	
22.15	3.1900	16.7406	0.8989	12.6186	2.2868	
22.16	3.4430	17.0606	0.8769	12.3372	2.4885	
22.17	3.6139	16.1792	0.8863	12.4607	2.5486	
22.18	3.6005	15.9081	0.9129	12.3761	2.6214	
22.19	3.7107	15.5172	0.8271	12.0321	2.8595	
22.20	3.6199	15.5638	0.7563	12.0597	2.9161	
22.21	3.4003	15.0539	0.7704	12.1238	2.8148	
22.22	3.3002	16.0551	0.7776	11.5225	3.1225	
22.23	3.3648	15.3900	0.7830	12.0477	2.9139	
22.24	3.3954	15.3226	0.7787	12.8522	2.7878	
22.25	3.4287	16.0604	0.8480	13.3137	2.8096	
22.26	3.9322	16.6331	0.8879	13.4133	3.0616	
22.27	4.0301	17.6494	0.9414	13.6544	3.1575	
22.28	4.1525	17.3770	0.9505	13.5233	3.0178	
22.29	3.8944	16.6327	0.9181	13.8059	2.8008	
22.30	3.8559	15.2644	0.8340	14.1166	2.7620	
22.31	3.8952	15.3447	0.8662	13.7360	2.9088	
22.32	4.0181	16.4184	0.9339	13.5992	2.9702	
22.33	4.0312	16.9103	0.9175	13.7412	2.9867	
22.34	3.7169	17.5081	0.8515	13.8226	2.7417	
22.35	3.5714	18.2916	0.8649	13.7134	3.0043	
22.36	4.0816	19.1537	0.7851	13.4221	3.4994	
22.37	3.8953	20.3757	0.8153	13.0227	3.6348	
22.38	4.4105	19.5173	0.7786	13.9806	3.5795	
22.39	4.0123	19.5591	0.8115	13.1748	3.5159	
22.40	3.5734	19.2281	0.8026	13.8309	2.7246	
22.41	3.6591	19.5722	0.7582	14.1958	2.6540	
22.42	3.4752	19.1854	0.8016	13.2582	2.5668	
22.43	3.4078	19.0009	0.8633	13.0358	2.4691	
22.44	3.3598	19.8152	0.8938	13.2606	2.4492	
22.45	3.0022	19.3705	0.9260	13.1326	2.2078	
22.46	3.2055	18.3830	0.8793	12.8441	2.1881	
22.47	3.3080	16.0837	0.8224	12.3913	2.2419	
22.48	3.3863	16.5564	0.8722	11.4593	2.6116	
22.49	3.4185	15.9754	0.9250	11.0072	2.5900	
22.50	3.4392	15.1767	0.8826	11.0106	2.6403	
22.51	3.8735	15.3109	0.9464	10.7660	2.9086	
22.52	3.4716	14.4341	0.9739	10.0320	2.9720	
22.53	3.3305	13.8068	1.0102	9.9845	2.5535	
22.54	3.4359	14.1227	1.0232	9.6501	2.7382	
22.55	3.5576	13.9742	1.0870	9.4167	2.9335	
22.56	3.4450	14.2197	1.1216	9.2992	2.9420	
22.57	3.2499	14.1796	1.0427	9.0096	3.2149	
22.58	3.2812	13.8950	1.1335	8.7829	3.1945	
22.59	3.1414	12.5910	1.1479	8.9978	2.8498	
22.60	3.0513	11.7400	1.2897	8.7515	2.5438	
22.61	2.9901	12.6200	1.3677	9.1935	2.4891	
22.62	2.8076	13.3998	1.4606	9.0376	2.5726	
22.63	2.8506	14.2191	1.3883	9.0877	2.8374	
22.64	3.1246	13.4607	1.3452	9.3546	2.7537	
22.65	3.1632	13.1081	1.3500	10.0918	2.5030	
22.66	3.0838	12.6778	1.3006	9.8656	2.5350	
22.67	3.1856	13.5762	1.4377	9.4442	2.8601	
22.68	3.1393	14.1553	1.4807	9.4861	2.9900	
22.69	3.5154	14.0354	1.4761	9.4044	3.3402	
22.70	3.3127	13.7422	1.3663	9.5956	2.9509	
22.71	3.5019	12.6787	1.3824	9.9455	2.7205	
22.72	3.7952	12.1462	1.3585	9.8811	2.9966	
22.73	3.7038	11.3365	1.2723	10.3514	2.5508	
22.74	3.3289	10.8674	1.1699	10.8372	2.1147	
22.75	3.4409	10.5979	1.2357	10.8741	2.1408	
22.76	3.1168	10.7639	1.2801	10.8406	2.1537	
22.77	3.4269	10.4756	1.3437	11.1596	2.2836	
22.78	3.7844	10.3294	1.2877	10.9597	2.5730	
22.79	4.2261	10.4201	1.1883	11.6763	2.5579	
22.80	4.3576	10.1978	1.0929	12.1794	2.4785	
22.81	4.3579	10.3330	1.1059	12.4843	2.4568	
22.82	4.4751	10.1957	1.1771	12.2248	2.4275	
22.83	4.6528	9.8692	1.0899	12.5245	2.4031	
22.84	4.7527	10.2232	1.1022	11.8040	2.7729	
22.85	4.2237	9.7605	1.0028	11.9462	2.5657	
22.86	3.8241	10.1019	1.0644	11.7259	2.3754	
22.87	3.3346	9.9894	1.0409	11.0936	2.4196	
22.88	3.4682	10.4495	1.0726	11.1996	2.5090	
22.89	3.5528	10.4681	1.1919	11.3334	2.4446	
22.90	3.3766	11.2307	1.2304	11.7399	2.4642	
22.91	3.5568	11.1496	1.0961	12.6208	2.4563	
22.92	3.3937	11.0663	1.0670	12.8991	2.3750	
22.93	3.3394	11.7155	1.1963	12.4010	2.5543	
22.94	3.6666	11.5658	1.1813	12.9891	2.5039	
22.95	3.9292	11.7366	1.1511	12.9595	2.8137	
22.96	3.7440	11.2500	1.2124	13.1468	2.7247	
22.97	3.8616	11.0350	1.3017	13.0084	2.6549	
22.98	3.3801	10.5723	1.2107	12.2699	2.7300	
22.99	3.4853	10.6958	1.1427	12.8841	2.8296	
23.00	3.3973	9.8032	1.1020	12.8877	2.4449	
23.01	3.1362	9.9395	1.1038	13.1304	2.3330	
23.02	3.2025	10.1465	1.1227	13.1506	2.4435	
23.03	3.4459	9.8990	1.1626	12.7098	2.5741	
23.04	3.6956	10.5096	1.0031	12.6326	3.0462	
23.05	4.1909	10.7858	1.1129	12.3401	3.4124	
23.06	4.0546	10.9981	1.1038	12.1832	3.4922	
23.07	4.4225	10.5882	1.0236	12.4342	3.4984	
23.08	4.0617	9.7433	1.1251	12.0962	3.3181	
23.09	3.9590	9.8779	1.1509	11.2157	3.5642	
23.10	3.6190	9.4433	1.0686	11.2269	3.1469	
23.11	3.5306	9.7537	1.0788	10.8434	3.1769	
23.12	3.5008	9.3246	1.1041	11.2891	2.7252	
23.13	3.4848	9.2870	1.1764	11.6726	2.4735	
23.14	3.0874	9.1753	1.1449	11.8211	2.2528	
23.15	3.4087	9.2048	1.2332	12.1878	2.3354	
23.16	3.4162	8.9767	1.1862	12.0984	2.3609	
23.17	3.2031	8.8810	1.2391	12.0439	2.2832	
23.18	3.1812	9.6129	1.2221	12.4119	2.3785	
23.19	2.8707	9.6595	1.2666	11.7562	2.4810	
23.20	2.5741	10.0982	1.2581	11.1268	2.6011	
23.21	2.2420	9.7036	1.2600	10.9758	2.4736	
23.22	2.4929	10.0231	1.2454	10.8579	2.9053	
23.23	2.3356	10.5453	1.1330	10.9367	2.7520	
23.24	2.0268	10.5264	1.1620	10.7343	2.7340	
23.25	2.0052	10.2738	1.2482	10.5506	2.9141	
23.26	2.0320	10.5026	1.1763	10.3930	2.9678	
23.27	1.8603	9.7134	1.2461	10.1973	2.7153	
23.28	1.9546	8.7202	1.1347	10.5292	2.6399	
23.29	2.0080	8.2239	1.1659	10.7229	2.5887	
23.30	2.0486	7.5389	1.1811	11.0477	2.3586	
23.31	1.9768	7.1101	1.2015	11.2504	2.3180	
23.32	1.9238	6.5932	1.1749	10.8574	2.1293	
23.33	1.8091	6.9430	1.1420	10.7155	2.0704	
23.34	1.8060	6.6745	1.1800	10.4685	2.0421	
23.35	1.6890	7.0471	1.0683	11.0861	1.9189	
23.36	1.7696	7.4515	1.0858	11.1566	2.1469	
23.37	1.6327	7.1405	1.0459	11.6520	1.7873	
23.38	1.7378	7.1061	1.0376	11.6473	1.8770	
23.39	1.7312	7.1578	1.0694	11.7869	1.9445	
23.40	1.7451	7.5651	1.0788	12.4928	1.9994	
23.41	1.9358	7.5452	1.0506	12.5457	2.1287	
23.42	2.0526	7.5088	1.0400	12.5783	2.1614	
23.43	2.2405	7.4568	1.0086	12.2247	2.3278	
23.44	2.3104	7.6325	1.0169	12.1230	2.4041	
23.45	2.3454	7.8446	0.9270	12.1190	2.4968	
23.46	2.2470	8.5103	0.9167	11.8536	2.6609	
23.47	2.3479	8.6627	0.9750	11.5232	2.7815	
23.48	2.2974	8.7367	0.9820	11.2863	2.7186	
23.49	2.2749	8.7227	1.0184	11.3503	2.6311	
23.50	2.2789	8.4583	1.0891	11.6761	2.4269	
23.51	2.2804	8.6177	1.1730	11.2054	2.6255	
23.52	2.1366	9.1389	1.1175	10.9703	2.5910	
23.53	2.2436	8.6228	1.0864	11.3139	2.6129	
23.54	2.2888	8.7356	1.1331	11.3159	2.7500	
23.55	2.2930	8.8209	1.0099	11.2915	2.7581	
23.56	2.3302	8.7825	1.0611	10.4722	3.3341	
23.57	2.1892	9.0909	1.0437	10.3086	3.3660	
23.58	2.5275	8.5697	1.0730	10.4209	3.5054	
23.59	2.6382	8.7679	1.0681	10.8260	3.4495	
23.60	2.4382	8.9851	1.0380	11.2263	2.9190	
23.61	2.5515	8.3541	1.1437	11.0626	3.0236	
23.62	2.3494	8.3530	1.0279	11.9310	2.6610	
23.63	2.3335	8.1665	1.1055	11.6669	2.4354	
23.64	2.4000	7.8103	1.0551	12.7238	2.2507	
23.65	2.3150	7.8515	1.1022	13.4507	1.9816	
23.66	2.5401	7.6379	1.0527	13.9903	2.0273	
23.67	3.1067	7.8222	1.0979	14.0902	2.3527	
23.68	3.0014	7.6021	1.0914	14.1634	2.0237	
23.69	2.8558	7.2116	0.9934	13.8000	1.8845	
23.70	2.8753	7.1446	0.9898	14.0847	1.9233	
23.71	3.1562	7.4290	1.0369	14.1989	1.9410	
23.72	3.0477	7.6613	1.0347	13.7102	2.0109	
23.73	2.7003	7.4791	1.0755	13.4931	1.8353	
23.74	2.7443	7.2913	1.0632	14.5654	1.6844	
23.75	2.8054	7.3945	1.0586	14.5910	1.6718	
23.76	2.8204	7.6934	1.0261	14.6829	1.6871	
23.77	2.9280	7.5701	1.0979	14.5216	1.7018	
23.78	2.7124	7.8650	1.0720	14.6672	1.5787	
23.79	3.0246	7.8905	1.1656	14.7071	1.6798	
23.80	3.2646	8.2859	1.1941	15.1075	1.7091	
23.81	3.3807	8.4465	1.2591	15.5103	1.6803	
23.82	2.9215	7.8812	1.2424	15.6803	1.6156	
23.83	3.0042	7.7552	1.2098	15.8184	1.4536	
23.84	3.0234	8.1138	1.2531	15.5273	1.4245	
23.85	2.6275	8.1558	1.2735	15.1989	1.2762	
23.86	2.5476	8.5366	1.2432	15.0709	1.3006	
23.87	2.5489	8.4268	1.1253	16.0027	1.1588	
23.88	2.4769	8.9612	1.1014	16.1606	1.1380	
23.89	2.1964	9.1725	1.1786	15.9559	0.9937	
23.90	2.1505	9.4170	1.2044	15.7797	1.0844	
23.91	2.1864	9.8327	1.1003	15.8870	1.1381	
23.92	2.2701	9.8061	1.2147	16.0782	1.0721	
23.93	2.2936	9.2866	1.2984	16.5941	1.0594	
23.94	1.9937	9.4636	1.1842	16.3643	1.0503	
23.95	1.9562	10.1908	1.1594	16.7395	1.0072	
23.96	2.0058	9.7509	1.1971	17.0787	1.0027	
23.97	2.1414	9.3386	1.1369	16.8855	1.0733	
23.98	2.2678	8.9478	1.1866	16.1594	1.1518	
23.99	2.3537	8.8684	1.2300	15.9601	1.1979	
24.00	2.3969	9.0018	1.2156	16.7021	1.2474	
24.01	2.4073	8.1899	1.1232	16.2468	1.2976	
24.02	2.4267	8.1746	1.0850	16.9504	1.2476	
24.03	2.4132	7.6129	1.1503	17.5370	1.1435	
24.04	2.4410	7.0510	1.2600	16.9160	1.1684	
24.05	2.5307	6.6595	1.2434	16.5079	1.2602	
24.06	2.3690	6.2105	1.2332	16.4055	1.1062	
24.07	2.3591	6.1778	1.2225	16.7808	1.1157	
24.08	2.3384	5.5532	1.1798	16.2850	1.0796	
24.09	2.3686	5.5983	1.1480	16.5714	1.0909	
24.10	2.2170	5.3665	1.2018	16.5311	0.9746	
24.11	2.1485	5.5098	1.2462	15.9810	0.9918	
24.12	2.1441	5.5807	1.2284	15.3498	1.0973	
24.13	2.1162	5.8023	1.2335	15.2246	1.0840	
24.14	2.0931	5.8305	1.2546	15.5316	0.9931	
24.15	2.2420	5.9445	1.1636	15.8992	1.0229	
24.16	1.8908	5.8888	1.1406	15.6853	0.9048	
24.17	1.8348	6.2124	1.1165	15.8309	0.8778	
24.18	1.6621	6.1696	1.1139	15.5656	0.7899	
24.19	1.7517	6.5829	1.0638	15.6746	0.8432	
24.20	1.9088	6.7168	1.1109	16.5543	0.8132	
24.21	1.7909	7.1215	1.0958	15.8078	0.8850	
24.22	1.6742	7.1055	1.1158	15.9063	0.8357	
24.23	1.6177	7.1042	1.2271	15.5973	0.8037	
24.24	1.6058	7.1687	1.1732	15.5623	0.8541	
24.25	1.5400	7.1846	1.1780	16.7200	0.7315	
24.26	1.5868	6.6625	1.1787	16.2889	0.7446	
24.27	1.7013	6.1711	1.1131	17.7298	0.6431	
24.28	1.8407	6.6841	1.1055	18.4624	0.6984	
24.29	2.1178	6.5837	1.2161	18.8566	0.7370	
24.30	1.9476	7.4211	1.1530	18.7056	0.8071	
24.31	1.9204	7.9610	1.1081	19.2302	0.7608	
24.32	1.8761	7.2188	1.1733	20.0916	0.6249	
24.33	2.0935	7.3496	1.1524	19.9527	0.6133	
24.34	2.1169	7.5632	1.0584	21.2712	0.5871	
24.35	1.8771	7.5590	0.9435	22.4422	0.5070	
24.36	1.8323	7.4467	0.9644	23.0765	0.4859	
24.37	1.7574	7.8254	0.9070	23.4540	0.4971	
24.38	1.5709	7.5717	0.8995	22.4518	0.4893	
24.39	1.8228	7.6811	0.9000	22.5505	0.5607	
24.40	1.8515	7.8580	0.9095	22.9313	0.5435	
24.41	1.8410	7.2729	0.8612	23.6944	0.5101	
24.42	1.9091	7.6588	0.8061	23.4028	0.5591	
24.43	1.9823	7.9085	0.7791	23.4851	0.5675	
24.44	2.0599	7.7758	0.8042	22.3240	0.6162	
24.45	1.9499	7.9054	0.8040	22.5630	0.5463	
24.46	2.0770	8.2207	0.7792	21.9911	0.5829	
24.47	2.0857	8.7401	0.8271	23.0412	0.5249	
24.48	2.1302	8.8055	0.8933	22.5425	0.5581	
24.49	2.1926	8.4597	1.0282	21.7237	0.5474	
24.50	2.2755	8.3034	1.0770	20.9536	0.5741	
24.51	2.3754	7.8689	1.0523	21.2017	0.5391	
24.52	2.5809	7.5935	0.9918	21.5964	0.5647	
24.53	2.3945	7.0330	1.0115	21.0578	0.4982	
24.54	2.4409	6.7689	1.0363	20.5342	0.4853	
24.55	2.4722	7.0063	1.0279	20.5271	0.5016	
24.56	2.6774	6.8023	0.9902	20.4681	0.4921	
24.57	2.7019	7.1496	0.9845	19.8974	0.5505	
24.58	3.0925	6.9594	1.0409	20.1451	0.5933	
24.59	3.2009	7.6125	1.0245	20.1707	0.6124	
24.60	3.3085	7.6650	1.0152	19.6129	0.6697	
24.61	3.3646	7.9166	1.0957	19.8573	0.6459	
24.62	3.3876	7.7389	1.0091	19.2222	0.6761	
24.63	3.2616	7.9167	1.0402	19.4884	0.6396	
24.64	2.9756	8.0726	0.9964	19.8772	0.5868	
24.65	2.9067	7.8315	1.1363	19.1028	0.5126	
24.66	3.0005	8.1388	1.1229	18.1699	0.5661	
24.67	3.2104	7.9761	1.2177	17.2894	0.6023	
24.68	2.9481	8.1598	1.2374	16.3059	0.6464	
24.69	3.1459	7.7635	1.1700	16.4377	0.6840	
24.70	2.9469	8.2527	1.1540	16.0851	0.7063	
24.71	2.8872	8.2855	1.1828	16.6337	0.6664	
24.72	2.6751	8.5201	1.2137	16.2808	0.6903	
24.73	2.8677	8.3896	1.2618	16.4334	0.6913	
24.74	2.8986	8.0361	1.2610	16.5381	0.6716	
24.75	2.6655	7.9291	1.2441	17.8763	0.5528	
24.76	2.5604	7.4107	1.2144	17.9438	0.5183	
24.77	2.4492	6.9903	1.1874	18.2640	0.4407	
24.78	2.4119	7.6768	1.1329	17.5752	0.5086	
24.79	2.0206	8.0796	1.1614	17.0300	0.5145	
24.80	1.9547	8.0190	1.2769	17.2815	0.4858	
24.81	1.9827	7.6060	1.3273	16.5315	0.4642	
24.82	2.1467	7.7411	1.4390	15.7590	0.5226	
24.83	2.0722	7.7275	1.3980	16.3091	0.5116	
24.84	1.8381	7.5750	1.3531	15.1330	0.5161	
24.85	1.6299	7.9875	1.3188	15.2874	0.4845	
24.86	1.6034	7.8632	1.2900	15.0018	0.4518	
24.87	1.6229	7.7040	1.2610	15.2085	0.4503	
24.88	1.6388	7.9846	1.3733	14.7533	0.4816	
24.89	1.6958	8.0516	1.2544	15.6792	0.4653	
24.90	1.8370	8.2335	1.1812	15.3781	0.4938	
24.91	1.8588	8.2409	1.0302	15.9594	0.4703	
24.92	1.5080	8.3337	1.0409	15.8555	0.3967	
24.93	1.4560	8.3848	1.0769	15.7031	0.3887	
24.94	1.3850	7.5177	1.1582	15.6659	0.3097	
24.95	1.3286	7.3897	1.1939	16.9789	0.2725	
24.96	1.2907	7.8820	0.9906	17.3451	0.2810	
24.97	1.4388	7.7176	1.0293	17.7090	0.2722	
24.98	1.5315	7.9002	1.0731	17.5077	0.2950	
24.99	1.6354	7.3604	1.1110	16.9152	0.3272	
25.00	1.6476	7.4506	1.1991	17.0708	0.3277	
25.01	1.6011	7.7835	1.3045	16.7678	0.3461	
25.02	1.6583	7.6633	1.2630	17.2616	0.3597	
25.03	1.5870	7.8655	1.2758	16.7987	0.3892	
25.04	1.4772	7.3898	1.3311	16.4278	0.3416	
25.05	1.2923	7.8542	1.4428	16.3383	0.3167	
25.06	1.3280	7.1411	1.5228	15.2766	0.3222	
25.07	1.4304	7.0213	1.5925	15.2663	0.3441	
25.08	1.4957	6.6954	1.4870	14.7068	0.3916	
25.09	1.4528	7.2644	1.4280	14.7038	0.4008	
25.10	1.6238	7.3321	1.7084	14.2315	0.4232	
25.11	1.6726	7.1763	1.6182	14.1209	0.4165	
25.12	1.5427	6.9899	1.6550	13.7637	0.4147	
25.13	1.4953	7.1895	1.5622	13.3834	0.4366	
25.14	1.4131	7.7952	1.4139	13.4257	0.4611	
25.15	1.4193	7.8146	1.4817	13.8923	0.4413	
25.16	1.3917	7.7974	1.5220	13.7406	0.4225	
25.17	1.4416	8.5226	1.4713	13.8673	0.4618	
25.18	1.5785	8.5899	1.4247	14.4737	0.4715	
25.19	1.5550	8.8307	1.2724	13.9490	0.4864	
25.20	1.5764	8.9543	1.3524	13.6774	0.5007	
25.21	1.5292	8.4713	1.3480	12.7958	0.5297	
25.22	1.7635	7.6152	1.2715	13.1294	0.5451	
25.23	1.7173	7.6911	1.2197	13.1499	0.5466	
25.24	1.4591	7.7100	1.1034	13.8236	0.4492	
25.25	1.5157	7.2852	1.0278	14.1452	0.4509	
25.26	1.4830	7.1682	1.1402	13.8537	0.4393	
25.27	1.3152	7.1197	1.2014	13.5169	0.4046	
25.28	1.3753	6.7964	1.2150	13.7736	0.3882	
25.29	1.3299	6.8342	1.1878	13.1264	0.4184	
25.30	1.3481	6.6049	1.2115	13.7311	0.3914	
25.31	1.3510	7.2599	1.2728	13.6592	0.4173	
25.32	1.4167	7.7193	1.2459	13.9525	0.4333	
25.33	1.3109	8.0863	1.2243	14.0541	0.4165	
25.34	1.1625	8.1137	1.2089	13.4382	0.4116	
25.35	1.1145	7.7515	1.1562	14.1270	0.3317	
25.36	0.9718	7.9364	1.0509	14.1977	0.3038	
25.37	0.9172	7.4708	1.0618	14.7045	0.2678	
25.38	0.8852	7.4896	1.1213	13.8189	0.2747	
25.39	0.8833	7.3602	1.1718	13.3623	0.2917	
25.40	0.9126	6.8890	1.2892	12.7846	0.2788	
25.41	1.0005	6.9147	1.1871	13.0724	0.2840	
25.42	1.0466	6.8916	1.0378	12.8156	0.3480	
25.43	0.9567	6.8119	1.0701	12.3819	0.3532	
25.44	0.9613	6.5137	1.0830	12.7646	0.3253	
25.45	0.8482	5.9266	1.1923	12.4459	0.2897	
25.46	0.8592	5.7183	1.1999	11.9768	0.2992	
25.47	0.9482	5.7291	1.1782	12.1381	0.3516	
25.48	0.8994	5.7746	1.1690	12.0863	0.3457	
25.49	0.9242	5.9745	1.1007	12.8145	0.3447	
25.50	0.8444	6.0671	1.1459	12.5459	0.3611	
25.51	0.8935	5.7841	1.2108	13.1977	0.3644	
25.52	0.9333	5.5961	1.2186	12.6569	0.3852	
25.53	1.0754	5.5372	1.3674	12.4043	0.4487	
25.54	0.9867	5.8868	1.2774	13.0501	0.4345	
25.55	1.0291	5.7969	1.3207	12.3082	0.5141	
25.56	1.0689	5.7050	1.3626	11.8761	0.5552	
25.57	1.0660	5.9790	1.2980	12.8971	0.4794	
25.58	0.9560	5.9616	1.0462	13.2497	0.4723	
25.59	0.9424	6.1346	1.0306	13.2374	0.4391	
25.60	0.8853	6.7600	1.0056	13.3578	0.4708	
25.61	0.8521	7.0135	1.0390	13.6295	0.4862	
25.62	0.9188	6.9604	1.1580	13.7506	0.4827	
25.63	0.9143	7.4929	1.1529	14.0348	0.5196	
25.64	0.9229	7.4862	1.1923	13.9471	0.5476	
25.65	0.9132	7.5247	1.4280	13.6908	0.5416	
25.66	0.8789	7.6147	1.3230	14.0194	0.5353	
25.67	0.8402	7.6119	1.1715	14.7170	0.4537	
25.68	0.8554	7.7391	0.9754	15.0992	0.4671	
25.69	0.8438	7.9746	1.0370	14.5093	0.5107	
25.70	0.8397	8.2750	1.0604	14.7861	0.4670	
25.71	0.8032	7.8591	0.9446	15.9276	0.3797	
25.72	0.8325	8.1479	0.8550	16.5862	0.3763	
25.73	0.9247	7.9946	0.9153	16.8266	0.3827	
25.74	1.0432	7.9624	0.8633	16.4450	0.4402	
25.75	1.0822	8.0312	0.8587	16.0949	0.4620	
25.76	1.0100	7.7222	0.9063	15.5933	0.4309	
25.77	0.9921	7.6708	0.8520	16.4498	0.4041	
25.78	0.9548	7.8679	0.8699	15.9551	0.4285	
25.79	1.0843	7.7758	0.8290	17.2434	0.4183	
25.80	1.1089	7.5941	0.7977	16.6361	0.4303	
25.81	1.1161	7.2569	0.8659	16.7555	0.4164	
25.82	1.1786	6.5459	0.9515	16.6213	0.3687	
25.83	1.3837	6.7556	0.9607	17.2617	0.3818	
25.84	1.2611	6.7236	1.0346	16.5450	0.3836	
25.85	1.3279	6.8144	1.0458	16.7907	0.3700	
25.86	1.2182	7.0169	1.0501	16.7752	0.3432	
25.87	1.1276	6.9450	1.0276	16.7927	0.3204	
25.88	1.2055	6.8813	1.0605	16.5686	0.3116	
25.89	1.3104	6.9000	1.0098	16.8129	0.3281	
25.90	1.2613	7.1019	1.0630	16.7869	0.3447	
25.91	1.3474	7.0515	1.0454	17.3957	0.3580	
25.92	1.3434	6.8974	1.1708	17.0988	0.3634	
25.93	1.2096	7.1071	1.1818	16.3979	0.3809	
25.94	1.3383	6.5788	1.2247	16.5204	0.3761	
25.95	1.3278	6.6761	1.2365	15.7305	0.3669	
25.96	1.2433	6.9113	1.1538	16.1582	0.3355	
25.97	1.1996	6.5004	1.1099	15.9634	0.3245	
25.98	1.1702	6.3201	1.0903	16.6148	0.2889	
25.99	1.2399	6.3648	1.0073	16.7015	0.2780	
26.00	1.3858	6.5178	1.0760	16.3197	0.3309	
26.01	1.3907	6.3933	1.0900	16.5518	0.2906	
26.02	1.3754	6.3923	1.1567	16.1701	0.2915	
26.03	1.3735	6.2086	1.1729	15.8710	0.3021	
26.04	1.4781	6.0901	1.2249	16.0977	0.2988	
26.05	1.5923	6.2419	1.2361	16.9067	0.3065	
26.06	1.4710	6.3030	1.2864	16.4426	0.2990	
26.07	1.5261	6.1356	1.3174	15.7231	0.3201	
26.08	1.6379	6.3503	1.2987	15.4212	0.3698	
26.09	1.4034	6.6746	1.3246	15.8645	0.3332	
26.10	1.3653	7.1945	1.2914	16.2642	0.3207	
26.11	1.4084	6.8511	1.2745	16.3251	0.3116	
26.12	1.3956	6.9592	1.4294	16.1738	0.3085	
26.13	1.3632	6.7760	1.4134	15.7552	0.3005	
26.14	1.3389	6.7383	1.3559	16.4373	0.2749	
26.15	1.3714	6.4745	1.3365	16.1755	0.2786	
26.16	1.4301	6.6222	1.3643	16.7076	0.2731	
26.17	1.5496	7.0606	1.3406	16.2088	0.3045	
26.18	1.5422	7.3904	1.3445	15.6356	0.3374	
26.19	1.7274	7.5895	1.4634	15.4584	0.3749	
26.20	1.7806	7.8955	1.5498	15.3354	0.3802	
26.21	1.9483	8.0582	1.4360	16.2615	0.3706	
26.22	1.8733	8.3049	1.3391	17.0634	0.3370	
26.23	1.8313	8.1887	1.3189	16.2945	0.3338	
26.24	1.8074	7.7609	1.3188	15.6467	0.3415	
26.25	1.7929	7.6649	1.2824	15.9459	0.3227	
26.26	1.8309	7.5509	1.3511	15.7221	0.3291	
26.27	1.8807	8.1002	1.3899	15.4160	0.3457	
26.28	1.8151	8.3649	1.3677	15.5148	0.3137	
26.29	1.9662	8.0123	1.3954	15.2891	0.3202	
26.30	1.9981	8.1620	1.3467	16.6721	0.2971	
26.31	2.0370	7.9508	1.2809	17.4410	0.2798	
26.32	1.8972	7.9142	1.2698	16.7159	0.2873	
26.33	1.9385	8.2449	1.1709	16.9829	0.3237	
26.34	1.7873	8.2498	1.1430	16.9915	0.3141	
26.35	1.8594	8.2219	1.1164	17.7058	0.3137	
26.36	1.9872	8.2604	1.1192	17.5184	0.3613	
26.37	2.1525	9.1423	1.1424	17.5895	0.3883	
26.38	2.3114	9.0474	1.1652	17.3154	0.4268	
26.39	2.1845	9.3508	1.2194	17.9729	0.3680	
26.40	2.2416	9.2062	1.2313	17.9007	0.3731	
26.41	1.9884	8.7199	1.2185	17.6216	0.3525	
26.42	1.7978	9.2425	1.3121	17.6846	0.3454	
26.43	2.0051	8.8683	1.3788	18.5359	0.3274	
26.44	2.2021	8.5906	1.3610	18.9337	0.3461	
26.45	2.2195	8.7964	1.3903	18.7524	0.3319	
26.46	2.3682	8.4498	1.4143	19.0120	0.3325	
26.47	2.4177	8.1158	1.4701	19.0677	0.3294	
26.48	2.1634	8.0846	1.4785	19.1983	0.2923	
26.49	2.0327	8.3884	1.6022	18.0082	0.3269	
26.50	1.7905	8.1042	1.6657	16.6732	0.3007	
26.51	2.1109	8.0067	2.0063	15.8666	0.3033	
26.52	2.3360	7.3348	2.2138	16.2651	0.3100	
26.53	2.2228	6.9088	2.1371	16.2449	0.2921	
26.54	2.3409	7.0420	2.0545	16.5024	0.2852	
26.55	2.3502	7.1767	2.0196	16.7464	0.2855	
26.56	2.2976	7.4895	1.8223	17.1830	0.2908	
26.57	2.3028	7.7337	1.9510	17.0949	0.2944	
26.58	2.1585	7.4511	1.9937	17.4080	0.2602	
26.59	2.0497	7.4037	2.0047	17.2896	0.2690	
26.60	1.8392	7.7389	1.9791	16.6936	0.2687	
26.61	2.0837	7.6806	1.9305	16.8738	0.2802	
26.62	2.2807	7.8701	1.9708	16.7680	0.3039	
26.63	2.1017	7.6660	1.9664	16.2390	0.3073	
26.64	2.0888	8.2183	2.0184	15.8594	0.3268	
26.65	1.7649	8.4330	2.0935	15.2081	0.3239	
26.66	1.7693	8.8182	2.1889	14.3739	0.3630	
26.67	1.7453	8.4566	2.2939	13.9116	0.3604	
26.68	1.7863	8.8957	2.3211	14.1681	0.3821	
26.69	1.7605	9.5559	2.4020	13.8382	0.3909	
26.70	1.7416	9.3754	2.5149	13.9831	0.3650	
26.71	1.6388	8.8154	2.6380	14.2488	0.3408	
26.72	1.7505	8.7258	2.7348	14.1986	0.3674	
26.73	1.6423	8.6198	2.5660	14.9691	0.3219	
26.74	1.6647	8.0192	2.5518	14.9136	0.3187	
26.75	1.6646	7.5714	2.5039	15.1992	0.3035	
26.76	1.8033	7.3836	2.3285	15.6055	0.3092	
26.77	1.6583	7.1542	2.3665	15.8515	0.2736	
26.78	1.7860	6.8629	2.5396	15.1342	0.2669	
